Gene_acc,Gene_id,NST1p1,NST1p2,NST1p3,NST1p4,NST1m1,NST1m2,NST1m3,NST1m4,Desc
0,Tb927.5.4450,21491.0,18283.0,20974.0,17997.0,32411.0,27969.0,35575.0,19394.0,"hypothetical protein, conserved"
1,Tb927.5.4460,3921000.0,3967600.0,3987000.0,3902900.0,6891700.0,6848200.0,7265200.0,6921600.0,"major vault protein, putative"
2,Tb927.5.4470,222050.0,232690.0,245530.0,222310.0,356820.0,376500.0,403960.0,371540.0,"hypothetical protein, conserved"
3,Tb927.5.4480,1234800.0,1200400.0,1127100.0,1285600.0,2044400.0,2109000.0,2177500.0,2205300.0,"paraflagellar rod component par4, putative"
4,Tb927.5.4500,2648400.0,2504700.0,2437300.0,2541400.0,4239800.0,4534800.0,4418300.0,4418300.0,"ras-like small GTPase, putative"
5,Tb927.5.4520,88267.0,95616.0,92886.0,94731.0,162900.0,158250.0,154370.0,153500.0,Kinetochore interacting protein 1
6,Tb927.5.4360,88971.0,89065.0,81025.0,88278.0,137480.0,125710.0,147440.0,136170.0,"hypothetical protein, conserved"
7,Tb927.5.4560,3406800.0,3451300.0,3463800.0,3235500.0,5629600.0,5741200.0,5946500.0,5878100.0,"guanine deaminase, putative"
8,Tb05.5K5.210,45842.0,36093.0,48757.0,44353.0,78646.0,71927.0,96466.0,79311.0,hypothetical protein
9,Tb927.5.4380,1179500.0,1219400.0,1225900.0,1209300.0,2101000.0,2266100.0,2349100.0,2186600.0,Kinetoplastid-specific Protein Phosphatase 1
10,Tb927.5.4390,48725.0,69385.0,55083.0,58867.0,93479.0,102140.0,100080.0,88438.0,"hypothetical protein, conserved"
11,Tb927.5.4400,59356.0,68005.0,66676.0,70529.0,102350.0,120800.0,119240.0,117640.0,"hypothetical protein, conserved"
12,Tb927.5.4410,114590.0,122890.0,109950.0,96943.0,173580.0,185820.0,205440.0,165840.0,"hypothetical protein, conserved"
13,Tb927.5.4420,1784200.0,1769400.0,1727500.0,1714000.0,3029600.0,3170100.0,3241000.0,2963400.0,"nucleolar RNA helicase II, putative"
14,Tb927.5.4430,35077.0,35294.0,46344.0,34987.0,57797.0,56895.0,68859.0,66550.0,"calcium/calmodulin-dependent protein kinase, putative"
15,Tb927.5.4440,635200.0,634780.0,614470.0,622900.0,947000.0,1066100.0,993440.0,1008700.0,"dynein light chain, putative"
16,Tb06.3A7.960,631390.0,699510.0,705130.0,763250.0,1116500.0,1198500.0,1213200.0,1185500.0,hypothetical protein
17,Tb09.v4.0013,19879.0,17195.0,17073.0,18584.0,32526.0,31573.0,35900.0,31243.0,"retrotransposon hot spot (RHS) protein, putative"
18,Tb09.v4.0016,225280.0,208430.0,219860.0,219300.0,350920.0,395520.0,397610.0,364010.0,"expression site- associated gene (ESAG) protein, putative"
19,Tb09.v4.0067,229840.0,221430.0,224170.0,215210.0,320020.0,315570.0,321130.0,235170.0,"retrotransposon hot spot protein, pseudogene"
21,Tb09.v4.0109,224530.0,198550.0,210910.0,191960.0,340360.0,339950.0,337890.0,342240.0,hypothetical protein
22,Tb09.v4.0150,27229.0,26731.0,35974.0,33054.0,54303.0,53096.0,56268.0,33774.0,"variant surface glycoprotein (VSG, pseudogene), putative"
23,Tb927.10.4430,616110.0,653740.0,590560.0,596320.0,1030400.0,1135500.0,1157200.0,1050000.0,pumillo RNA binding protein PUF1
24,Tb927.10.4440,50128.0,46382.0,38251.0,42702.0,73300.0,70717.0,69501.0,74391.0,predicted SAP domain protein
25,Tb10.v4.0035,1430200.0,1633100.0,1462000.0,1515000.0,2407400.0,2506900.0,2523800.0,2517600.0,"stress-inducible protein STI1-like, putative"
26,Tb927.10.4460,71961.0,59920.0,59540.0,69883.0,119590.0,126980.0,127060.0,113030.0,"leucine carboxyl methyltransferase, putative"
27,Tb927.10.4470,22405.0,21137.0,27437.0,26760.0,37614.0,41460.0,59165.0,52238.0,"hypothetical protein, conserved"
28,Tb927.10.4490,312540.0,299770.0,305600.0,307140.0,494020.0,530220.0,477390.0,478070.0,"hypothetical protein, conserved"
29,Tb927.10.4500,447210.0,455370.0,486200.0,459640.0,700930.0,793690.0,810050.0,813430.0,cap guanine-N7 methyltransferase
30,Tb10.v4.0041,201800.0,207530.0,177900.0,186720.0,288490.0,290730.0,289920.0,298900.0,"PUB domain containing protein, putative"
31,Tb927.10.4320,178190.0,169830.0,164610.0,161260.0,263630.0,280740.0,269930.0,303960.0,"hypothetical protein, conserved"
32,Tb927.10.4310,793530.0,827490.0,777230.0,792360.0,1314800.0,1363400.0,1469700.0,1367200.0,"prohibitin 2, putative"
33,Tb10.v4.0052,102970.0,108330.0,113880.0,100270.0,156130.0,149800.0,167910.0,151070.0,microtubule-associated protein 2
37,Tb10.v4.0213,61664.0,67630.0,58998.0,57254.0,83271.0,98860.0,102070.0,92527.0,"expression site-associated protein 1 (ESAG1), putative"
