Gene_acc,Gene_id,logFC,log_AveExpr,FDR,Desc
0,Tb927.5.4450,-0.2589935944938162,14.539189741473308,0.7668330081406278,"hypothetical protein, conserved"
1,Tb927.5.4460,0.04529691405062408,22.317917822090592,0.9750739594840404,"major vault protein, putative"
2,Tb927.5.4470,-0.06858911044285065,18.107589774330684,0.6666322072859773,"hypothetical protein, conserved"
3,Tb927.5.4480,0.039216858934722154,20.589484027710867,0.45328482634000195,"paraflagellar rod component par4, putative"
4,Tb927.5.4500,0.019796227086203544,21.63425130004883,0.2129273059967735,"ras-like small GTPase, putative"
5,Tb927.5.4520,-0.01801382118205197,16.812313904314923,0.12386421377355267,Kinetochore interacting protein 1
6,Tb927.5.4360,-0.12455281068367441,16.794566436994668,1.1872902693846208,"hypothetical protein, conserved"
7,Tb927.5.4560,-0.0030732178820933598,22.04503790499704,0.0320448273911783,"guanine deaminase, putative"
8,Tb05.5K5.210,0.12106285174631992,15.760866271866385,0.5307556730006185,hypothetical protein
9,Tb927.5.4380,0.10188948876127668,20.57540137464387,1.7650875104814463,Kinetoplastid-specific Protein Phosphatase 1
10,Tb927.5.4390,-0.04141313002309488,16.062885074808637,0.19033132449823015,"hypothetical protein, conserved"
11,Tb927.5.4400,0.019876308851134894,16.431766664273088,0.09731870198515642,"hypothetical protein, conserved"
12,Tb927.5.4410,-0.060014024343580274,17.06701575121479,0.4492700606372297,"hypothetical protein, conserved"
13,Tb927.5.4420,0.04764771159624104,21.155923145487858,0.5406762709063136,"nucleolar RNA helicase II, putative"
14,Tb927.5.4430,-0.050984075084995695,15.499087711036507,0.21176192243023903,"calcium/calmodulin-dependent protein kinase, putative"
15,Tb927.5.4440,-0.09987104630241106,19.471704167022484,1.1797850407325137,"dynein light chain, putative"
16,Tb06.3A7.960,-0.02371231700333709,19.819453503570898,0.17445551568668038,hypothetical protein
17,Tb09.v4.0013,0.07415570407160743,14.586709967079747,0.5239773323414647,"retrotransposon hot spot (RHS) protein, putative"
18,Tb09.v4.0016,0.00932124139605861,18.209014891419496,0.07469540135020745,"expression site- associated gene (ESAG) protein, putative"
19,Tb09.v4.0067,-0.3692505382727802,17.81456348167816,1.9424966068065403,"retrotransposon hot spot protein, pseudogene"
21,Tb09.v4.0109,-0.0555161310210579,17.964166339521675,0.6528778400170075,hypothetical protein
22,Tb09.v4.0150,-0.1124353186356295,15.301301632152663,0.33748388577341265,"variant surface glycoprotein (VSG, pseudogene), putative"
23,Tb927.10.4430,0.053257503559390074,19.63173657756533,0.7495937670223662,pumillo RNA binding protein PUF1
24,Tb927.10.4440,-0.07327938688272084,15.670100150305636,0.51864343414505,predicted SAP domain protein
25,Tb10.v4.0035,-0.0555577476125535,20.805633238334345,0.641750588155004,"stress-inducible protein STI1-like, putative"
26,Tb927.10.4460,0.12285140636958758,16.583607702597064,0.8690340067575815,"leucine carboxyl methyltransferase, putative"
27,Tb927.10.4470,0.17021861131471283,15.026150207281168,0.6807988421612559,"hypothetical protein, conserved"
28,Tb927.10.4490,-0.08676347030595011,18.585088607343128,1.1192620745038748,"hypothetical protein, conserved"
29,Tb927.10.4500,-0.02558440412211027,19.175463268589876,0.20671256238457536,cap guanine-N7 methyltransferase
30,Tb10.v4.0041,-0.18170921790115102,17.83418264094001,2.60625027236588,"PUB domain containing protein, putative"
31,Tb927.10.4320,-0.04847478779115377,17.794974792563305,0.34153742020736394,"hypothetical protein, conserved"
32,Tb927.10.4310,0.010704877805956414,20.015879442712162,0.12502594790748242,"prohibitin 2, putative"
33,Tb10.v4.0052,-0.22313435358221767,17.009904529269456,3.2905287646514654,microtubule-associated protein 2
37,Tb10.v4.0213,-0.16193468482935458,16.31841744796654,1.840529114311592,"expression site-associated protein 1 (ESAG1), putative"
38,Tb10.v4.0216,-0.07689770941995278,16.13259544235254,0.4141704950563584,"variant surface glycoprotein (VSG, pseudogene), putative"
39,Tb927.10.6900,-0.1979249670508061,15.250189095133223,1.3517670917670863,base J-associated glucosyltransferase
40,Tb11.01.2730,-0.13183103536091778,16.79782856147935,1.2832549495133774,"hypothetical protein, conserved"
42,Tb11.02.5070b,-0.10604277606239698,15.061443005308274,0.7967848320632531,"hypothetical protein, conserved"
43,Tb927.11.7213,-0.1521091802425616,19.816651180806872,2.0495530990091844,"Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative"
44,Tb11.02.5090b,0.20279593063097678,17.01327748131691,1.8463958224355719,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene"
45,Tb11.02.5380b,-0.0777588354278933,19.02754388031431,1.0825318919181972,"exosome complex exonuclease RRP44p homologue, putative"
46,Tb11.02.5390b,-0.05508162243126691,16.96377678476845,0.6483741659692663,"mRNA processing protein, putative"
47,Tb11.02.5410b,-0.26287362748321286,14.428458326259017,1.3992224394827135,"ubiquitin activating enzyme, putative"
48,Tb11.02.5420b,-0.01994932437557395,19.443802450395363,0.15864284625577646,"NADPH-cytochrome p450 reductase, putative"
49,Tb11.02.5430b,-0.20579132444767367,14.161321901941072,0.6557042373722476,"hypothetical protein, conserved"
50,Tb927.6.4980,-0.19952215010746244,21.123048763697533,1.9425934012568493,40S ribosomal protein S14
